council,state,home_url,infocouncil_url
parramatta,NSW,https://www.cityofparramatta.nsw.gov.au/,https://businesspapers.parracity.nsw.gov.au/
bayside,NSW,https://www.bayside.nsw.gov.au/,https://infoweb.bayside.nsw.gov.au/
inner_west,NSW,https://www.innerwest.nsw.gov.au/,https://innerwest.infocouncil.biz/
kuringgai,NSW,https://www.krg.nsw.gov.au/,https://eservices.kmc.nsw.gov.au/Infocouncil.Web/
lane_cove,NSW,https://www.lanecove.nsw.gov.au/,https://lanecove.infocouncil.biz/
north_sydney,NSW,https://www.northsydney.nsw.gov.au/,
woollahra,NSW,https://www.woollahra.nsw.gov.au/,https://woollahra.infocouncil.biz/
waverley,NSW,https://www.waverley.nsw.gov.au/,https://waverley.infocouncil.biz/
blacktown,NSW,https://www.blacktown.nsw.gov.au/,
burwood,NSW,https://www.burwood.nsw.gov.au/,
camden,NSW,https://www.camden.nsw.gov.au/,
campbelltown,NSW,https://www.campbelltown.nsw.gov.au/,
canada_bay,NSW,https://www.canadabay.nsw.gov.au/,
canterbury_bankstown,NSW,https://www.cbcity.nsw.gov.au/,
cumberland,NSW,https://www.cumberland.nsw.gov.au/,https://cumberland.infocouncil.biz/
fairfield_city,NSW,https://www.fairfieldcity.nsw.gov.au/,
georges_river,NSW,https://www.georgesriver.nsw.gov.au/,
hornsby,NSW,https://www.hornsby.nsw.gov.au/,https://businesspapers.hornsby.nsw.gov.au/
liverpool,NSW,https://www.liverpool.nsw.gov.au/,https://liverpool.infocouncil.biz/
mosman,NSW,https://mosman.nsw.gov.au/,
northern_beaches,NSW,https://www.northernbeaches.nsw.gov.au/,https://northernbeaches.infocouncil.biz/
penrith_city,NSW,https://www.penrithcity.nsw.gov.au/,https://penrith.infocouncil.biz/
randwick,NSW,https://www.randwick.nsw.gov.au/,https://randwick.infocouncil.biz/
ryde,NSW,https://www.ryde.nsw.gov.au/,
strathfield,NSW,https://www.strathfield.nsw.gov.au/,
sutherland_shire,NSW,https://www.sutherlandshire.nsw.gov.au/,
sydney,NSW,https://www.cityofsydney.nsw.gov.au/,
the_hills,NSW,https://www.thehills.nsw.gov.au/,
willoughby,NSW,https://www.willoughby.nsw.gov.au/,
hunters_hill,NSW,https://www.huntershill.nsw.gov.au/,https://huntershill.infocouncil.biz/
